id,perm,al,ajuste,le,a,b,c,En,Vol,Ae,a_stmz,b_stmz,c_stmz,a_mag,b_mag,c_mag,d_mag,e_mag,x_mag,OuterDiam,IntDiam,HT,WinArea
77141,60,17.0,0.85,8.06,0.01,2.142e-06,1.855,0.0001,10.5,1.3,44.3,1.988,1.54,0.036,0.0172,0.00054,0.0562,0.000516,1.577,4.19,1.27,2.16,1.27
77445,75,21.0,0.86,8.06,0.01,3.885e-06,1.819,0.0001,10.5,1.3,44.3,1.988,1.54,0.0311,0.0229,0.000534,0.0557,0.000498,1.614,4.19,1.27,2.16,1.27
77444,90,25.0,0.87,8.06,0.01,5.83e-06,1.819,0.0001,10.5,1.3,44.3,1.988,1.54,0.0297,0.0254,0.000514,0.0531,0.000487,1.578,4.19,1.27,2.16,1.27
77140,125,35.0,0.88,8.06,0.01,2.209e-05,1.636,0.0001,10.5,1.3,44.3,1.988,1.54,0.0273,0.0295,0.000504,0.0527,0.000464,1.471,4.19,1.27,2.16,1.27
77151,60,17.0,0.85,9.42,0.01,2.142e-06,1.855,0.0007,19.9,2.11,44.3,1.988,1.54,0.036,0.0172,0.00054,0.0562,0.000516,1.577,4.57,1.73,3.18,2.32
77155,75,21.0,0.85,9.42,0.01,3.885e-06,1.819,0.0007,19.9,2.11,44.3,1.988,1.54,0.0311,0.0229,0.000534,0.0557,0.000498,1.614,4.57,1.73,3.18,2.32
77154,90,25.0,0.85,9.42,0.01,5.83e-06,1.819,0.0007,19.9,2.11,44.3,1.988,1.54,0.0297,0.0254,0.000514,0.0531,0.000487,1.578,4.57,1.73,3.18,2.32
77150,125,35.0,0.85,9.42,0.01,2.209e-05,1.636,0.0007,19.9,2.11,44.3,1.988,1.54,0.0273,0.0295,0.000504,0.0527,0.000464,1.471,4.57,1.73,3.18,2.32
77181,60,20.0,0.85,10.6,0.01,2.142e-06,1.855,0.0008,30.3,2.85,44.3,1.988,1.54,0.036,0.0172,0.00054,0.0562,0.000516,1.577,5.28,1.85,3.18,2.69
77185,75,25.0,0.85,10.6,0.01,3.885e-06,1.819,0.0008,30.3,2.85,44.3,1.988,1.54,0.0311,0.0229,0.000534,0.0557,0.000498,1.614,5.28,1.85,3.18,2.69
77184,90,30.0,0.85,10.6,0.01,5.83e-06,1.819,0.0008,30.3,2.85,44.3,1.988,1.54,0.0297,0.0254,0.000514,0.0531,0.000487,1.578,5.28,1.85,3.18,2.69
77180,125,42.0,0.85,10.6,0.01,2.209e-05,1.636,0.0008,30.3,2.85,44.3,1.988,1.54,0.0273,0.0295,0.000504,0.0527,0.000464,1.471,5.28,1.85,3.18,2.69
77023,14,6.0,0.88,13.6,0.01,4.938e-08,2.0,0.001,64.0,4.7,80.55,1.988,1.54,0.0392,0.0186,0.000481,0.139,0.000448,1.875,6.99,2.29,3.43,4.08
77022,26,10.0,0.88,13.6,0.01,5.266e-07,1.819,0.001,64.0,4.7,52.36,1.988,1.54,0.0376,0.0171,0.000516,0.0919,0.000491,1.812,6.99,2.29,3.43,4.08
77021,60,24.0,0.88,13.6,0.01,2.142e-06,1.855,0.001,64.0,4.7,44.3,1.988,1.54,0.036,0.0172,0.00054,0.0562,0.000516,1.577,6.99,2.29,3.43,4.08
77825,75,30.0,0.88,13.6,0.01,3.885e-06,1.819,0.001,64.0,4.7,44.3,1.988,1.54,0.0311,0.0229,0.000534,0.0557,0.000498,1.614,6.99,2.29,3.43,4.08
77824,90,36.0,0.88,13.6,0.01,5.83e-06,1.819,0.001,64.0,4.7,44.3,1.988,1.54,0.0297,0.0254,0.000514,0.0531,0.000487,1.578,6.99,2.29,3.43,4.08
77020,125,50.0,0.88,13.6,0.01,2.209e-05,1.636,0.001,64.0,4.7,44.3,1.988,1.54,0.0273,0.0295,0.000504,0.0527,0.000464,1.471,6.99,2.29,3.43,4.08
