N,PF,RF
1,1,1
2,1,0.5
3,1.25,0.4641016151
4,1.25,0.4142135624
5,1.25,0.3701919082
6,1.25,0.3333333333
7,1.25,0.3333333333
8,1.25,0.3025933883
9,1.25,0.2767686539
10,1.25,0.2622589242
11,1.25,0.2548547017
12,1.25,0.2481634706
13,1.26,0.2360679775
14,1.26,0.231030728
15,1.26,0.2211725391
16,1.26,0.2166474292
17,1.27,0.2086796656
18,1.27,0.2056046468
19,1.27,0.2056046468
20,1.27,0.195224011
21,1.27,0.1903921468
22,1.27,0.1838330266
23,1.27,0.1803360093
24,1.27,0.1769391306
25,1.29,0.1738276614
26,1.29,0.1715802522
27,1.29,0.1693079311
28,1.29,0.16625275
29,1.29,0.1629036493
30,1.29,0.1613491091
31,1.29,0.1589445416
32,1.29,0.1555339854
33,1.29,0.1541615179
34,1.29,0.1512640282
35,1.29,0.1493767766
36,1.29,0.1482194298
37,1.29,0.1479559045
38,1.29,0.1436392181
39,1.29,0.1416855217
40,1.29,0.1403736042
41,1.29,0.1377408129
42,1.29,0.1361137487
43,1.29,0.1347718911
44,1.29,0.1333682459
45,1.29,0.1320495943
46,1.29,0.13071588
47,1.29,0.1294637473
48,1.29,0.1283487565
49,1.29,0.1267929963
50,1.29,0.1258254895
51,1.29,0.1245716766
52,1.29,0.1236901646
53,1.29,0.1225562369
54,1.29,0.1218920219
55,1.29,0.1217863245
56,1.29,0.1192814971
57,1.29,0.1183826377
58,1.29,0.1173081931
59,1.29,0.116380565
60,1.29,0.1156574801
61,1.29,0.1154561417
62,1.29,0.113253292
63,1.29,0.1124561929
64,1.29,0.1115825958
65,1.29,0.1108967437
66,1.29,0.1099350573
67,1.29,0.109063482
68,1.29,0.1083450177
69,1.29,0.1078776434
70,1.29,0.1070016166
71,1.29,0.1062044998
72,1.29,0.1055325593
73,1.29,0.1048179997
74,1.29,0.1042836298
75,1.29,0.1033909157
76,1.29,0.1027791819
77,1.29,0.102052147
78,1.29,0.1014434397
79,1.29,0.1009584647
80,1.29,0.1003194994
81,1.29,0.09989147549
82,1.29,0.09949432781
83,1.29,0.09884491928
84,1.29,0.09852672139
85,1.29,0.09839506369
86,1.29,0.09709962401
87,1.29,0.09649521184
88,1.29,0.09585579277
89,1.29,0.09523363454
90,1.29,0.09482209599
91,1.29,0.09463627851
92,1.29,0.09359224575
93,1.29,0.09316753462
94,1.29,0.09278131528
95,1.29,0.09224917776
96,1.29,0.09188471648
97,1.29,0.09141945991
98,1.29,0.09107979823
99,1.29,0.09063601981
100,1.29,0.09023520029
101,1.29,0.08971077052
102,1.29,0.08931072549
103,1.29,0.08876939687
104,1.29,0.08835749852
105,1.29,0.08800756461
106,1.29,0.08755161106
107,1.29,0.08716836484
108,1.29,0.08677530371
109,1.29,0.0864893359
110,1.29,0.08608176965
111,1.29,0.08574262107
112,1.29,0.0854315717
113,1.29,0.08512429079
114,1.29,0.08478044104
115,1.29,0.08446321173
116,1.29,0.08405689155
117,1.29,0.08372772205
118,1.29,0.08343379425
119,1.29,0.08304037765
120,1.29,0.08274575257
121,1.29,0.08247555626
122,1.29,0.08193783094
123,1.29,0.08145710529
124,1.29,0.0811575777
125,1.29,0.08085234333
126,1.29.,0.08053381425
127,1.29.,0.0802468424
128,1.29.,0.07998578046
129,1.29.,0.07965767707
130,1.29.,0.07936293801
131,1.29.,0.07905375525
132,1.29.,0.07881812666
133,1.29.,0.07852206961
134,1.29.,0.07829966796
135,1.29.,0.07803809256
136,1.29.,0.07772568701
137,1.29.,0.07743252396
138,1.29.,0.07715272908
139,1.29.,0.07686993472
140,1.29.,0.07657098289
141,1.29,0.07629363455
142,1.29,0.07606638439
143,1.29,0.07577249591
144,1.29,0.07548429274
145,1.29,0.07532009933
146,1.29,0.07501181191
147,1.29,0.07486648034
148,1.29,0.07469967358
149,1.29,0.07442941378
150,1.29,0.0742897545
151,1.29,0.07420494131
152,1.29,0.07390027785
153,1.29,0.07357519779
154,1.29,0.07333046153
155,1.29,0.07313304871
156,1.29,0.07290562481
157,1.29,0.07260565685
158,1.29,0.0723420138
159,1.29,0.07212824962
160,1.29,0.07184090259
161,1.29,0.07158503482
162,1.29,0.07137670946
163,1.29,0.07109744164
164,1.29,0.07087372446
165,1.29,0.07069966149
166,1.29,0.07049363241
167,1.29,0.07032820336
168,1.29,0.0701375057
169,1.29,0.06995277656
170,1.29,0.06977806951
171,1.29,0.06960097491
172,1.29,0.06936363541
173,1.29,0.06919772842
174,1.29,0.06899954668
175,1.29,0.06879269808
176,1.29,0.06861470372
177,1.29,0.06842510805
178,1.29,0.06823177798
179,1.29,0.06802789925
180,1.29,0.06784704753
181,1.29,0.06765520091
182,1.29,0.06748125252
183,1.29,0.06726907995
184,1.29,0.06708969715
185,1.29,0.06694271685
186,1.29,0.06683962228
187,1.29,0.06671511629
188,1.29,0.06653913028
189,1.29,0.06636609659
190,1.29,0.06620923739
191,1.29,0.06603991481
192,1.29,0.06592203243
193,1.29,0.06579218114
194,1.29,0.0656106473
195,1.29,0.06541432183
196,1.29,0.06526137181
197,1.29,0.06507291098
198,1.29,0.0649776665
199,1.29,0.06492553515
200,1.29,0.06466935419
